ntp 4.2.8.p11-2
numlockx 1.2-4
openal 1.18.2-2
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.1-1
openjpeg2 2.3.0-3
openresolv 3.9.0-1
openssh 7.7p1-2
openssl 1.1.0.h-1
openssl-1.0 1.0.2.o-1
openvpn 2.4.6-1
opus 1.2.1-1
orage 4.12.1-4
orc 0.4.28-1
os-prober 1.76-2
p11-kit 0.23.13-2
p7zip 16.02-5
pacman 5.1.1-2
pacman-mirrors 4.12.6-1
pam 1.3.1-1
pamac 6.5.0-2
pambase 20171006-1
pango 1.42.3-1
pangomm 2.40.1-2
parted 3.2-6
patch 2.7.6-1
patchutils 0.3.4-3
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.6.1-1
pcre 8.42-1
pcre2 10.31-1
pcsclite 1.8.23-3
perl 5.28.0-1
perl-clone 0.39-5
perl-dbi 1.641-2
perl-error 0.17026-2
perl-file-basedir 0.08-2
perl-file-desktopentry 0.22-4
perl-file-mimeinfo 0.29-1
perl-ipc-system-simple 1.25-4
perl-mailtools 2.20-2
perl-parse-yapp 1.05-9
perl-timedate 2.30-5
perl-uri 1.74-2
perl-xml-libxml 2.0132-2
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-7
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
pidgin 2.13.0-4
pinentry 1.1.0-4
pixman 0.34.0-1
pkcs11-helper 1.23-1
pkgconf 1.5.3-1
polkit 0.114-1.1
polkit-gnome 0.105-4
polkit-qt5 0.112.0+git20180107-1
poppler 0.67.0-1
poppler-data 0.4.9-1
poppler-glib 0.67.0-1
poppler-qt5 0.67.0-1
popt 1.16-9
powertop 2.9-1
ppp 2.4.7-4
pptpclient 1.10.0-1
procps-ng 3.3.15-1.2
protobuf 3.6.0.1-1
protobuf-c 1.3.0-3
psmisc 23.1-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pulseaudio-ctl 1.66-1
pulseaudio-zeroconf 12.2-2
pygobject-devel 3.28.3-2
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.11.2-2
python 3.7.0-3
python-appdirs 1.4.3-2
python-cachecontrol 0.12.5-4
python-cairo 1.17.0-2
python-chardet 3.0.4-2
python-colorama 0.3.9-2
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-distlib 0.2.7-2
python-distro 1.3.0-2
python-distutils-extra 2.39-3
python-docopt 0.6.2-5
python-gobject 3.28.3-2
python-html5lib 1.0.1-3
python-idna 2.7-3
python-jade-application-kit 1.3.5-2
python-keyutils 0.5-3
python-lockfile 0.12.2-3
python-msgpack 0.5.6-2
python-npyscreen 4.10.5-2
python-packaging 17.1-2
python-pexpect 4.6.0-2
python-pillow 5.2.0-2
python-pip 18.0-1
python-progress 1.4-2
python-psutil 5.4.6-2
python-ptyprocess 0.6.0-2
python-pyparsing 2.2.0-2
python-pyqt5 5.11.2-2
python-pytoml 0.1.16-2
python-reportlab 3.5.1-2
python-requests 2.19.1-2
python-retrying 1.3.3-4
python-setuptools 1:40.0.0-1
python-sip-pyqt5 4.19.12-5
python-six 1.11.0-3
python-urllib3 1.23-2
python-webencodings 0.5.1-2
python-xdg 0.26-2
python-yaml 3.13-2
python2 2.7.15-2
python2-cairo 1.17.0-2
python2-gobject2 2.28.7-2
qpdf 8.1.0-1
qpdfview 0.4.17beta1-7
qrencode 4.0.2-1
qt5-base 5.11.1-2
qt5-styleplugins 5.0.0.20170311-7
qt5-svg 5.11.1-1
qt5-x11extras 5.11.1-1
qt5ct 0.35-2
raptor 2.0.15-9
rasqal 1:0.9.33-2
readline 7.0.005-1
redland 1:1.0.17-4
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rpcbind 1.2.5-1
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.6-1
s-nail 14.9.10-1
samba 4.8.3-2
sbc 1.3-2
sdl 1.2.15-9
sdl2 2.0.8-9
sed 4.5-1
serf 1.3.9-2
shadow 4.5-4
shared-mime-info 1.10-1
slang 2.3.2-1
smbclient 4.8.3-2
sound-theme-freedesktop 0.8-3
soundtouch 2.0.0-1
spandsp 0.0.6-2
spectre-meltdown-checker 0.37-1
speex 1.2.0-1
speexdsp 1.2rc3-3
splix 2.0.0-14
sqlite 3.24.0-1
srt 1.3.1-1
startup-notification 0.12-5
steam-devices 0.1-1
steam-manjaro 1.0.0.55-1
subversion 1.10.2-2
sudo 1.8.23-2
suitesparse 5.3.0-1
sysfsutils 2.1.0-10
systemd 239.0-3
systemd-sysvcompat 239.0-3
taglib 1.11.1-1
talloc 2.1.14-1
tar 1.30-1
tcl 8.6.8-3
tdb 1.3.15-1
terminus-font 4.46-1.1
tevent 1:0.9.36-1
texinfo 6.5-1
thin-provisioning-tools 0.7.6-1
thunar 1.8.1.11.gf5147445-1
thunar-archive-plugin 0.4.0-1
thunar-media-tags-plugin 0.3.0-1
thunar-volman 0.8.1-2
thunderbird 60.0-3
tlp 1.1-1.0
tslib 1.16-1
ttf-bitstream-vera 1.10-11
ttf-droid 20121017-5
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-9
ttf-liberation 2.00.1-7
tumbler 0.2.1-2
twolame 0.3.13-8
tzdata 2018e-2
udiskie 1.7.5-2
udisks2 2.7.6-1.1
ufw 0.35-5
unace 2.5-10
unrar 1:5.6.5-1
unzip 6.0-12
upower 0.99.7-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 010-1
util-linux 2.32.1-2
v4l-utils 1.14.2-1
v86d 0.1.10-5.1
vertex-maia-icon-theme 20180118-1
vertex-maia-themes 20180519-4
vi 1:070224-3
vibrancy-icons-teal 2.7-1
vid.stab 1.1-2
viewnior 1.6-3
vlc 3.0.3.r1-1
volume_key 0.3.11-2
vpnc 0.5.3.svn550-2
vte-common 0.52.2-1
vte3 0.52.2-1
vulkan-icd-loader 1.1.82+2958+1f9a54573-1
wavpack 5.1.0-2
wayland 1.15.0-1
wayland-protocols 1.15-1
webkit2gtk 2.20.5-1
webrtc-audio-processing 0.3.1-1
wget 1.19.5-1
which 2.21-2
wildmidi 0.4.2-1
wireless-regdb 2018.05.31-2
woff2 1.0.2-1
wpa_supplicant 1:2.6-11
x264 2:155.r0a84d986-2
x265 2.8-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcursor-breeze 5.11.5-1
xcursor-simpleandsoft 0.2-8
xcursor-vanilla-dmz-aa 0.4.5-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-1
xdg-utils 1.1.3-3
xf86-input-elographics 1.4.1-7
xf86-input-evdev 2.10.6-1
xf86-input-keyboard 1.9.0-2
xf86-input-libinput 0.28.0-1
xf86-input-mouse 1.9.3-1
xf86-input-void 1.4.1-3
xfburn 0.5.5-1
xfce4-appfinder 4.12.0-4
xfce4-battery-plugin 1.1.0-1
xfce4-clipman-plugin 1.4.2-2
xfce4-cpufreq-plugin 1.2.0-1
xfce4-cpugraph-plugin 1.0.5-4
xfce4-dict 0.8.1-1
xfce4-diskperf-plugin 2.6.1-1
xfce4-fsguard-plugin 1.1.0-1
xfce4-genmon-plugin 4.0.1-1
xfce4-mailwatch-plugin 1.2.0-7
xfce4-mount-plugin 1.1.3-1
xfce4-mpc-plugin 0.5.0-1
xfce4-netload-plugin 1.3.1-1
xfce4-notes-plugin 1.8.1-2
xfce4-notifyd 0.4.2-1
xfce4-panel 4.12.2-1
xfce4-power-manager 1.6.1-1
xfce4-pulseaudio-plugin 0.4.1-1.2
xfce4-screenshooter 1.9.3-1
xfce4-sensors-plugin 1.3.0-1
xfce4-session 4.12.1-8.1
xfce4-settings 4.12.4-1
xfce4-smartbookmark-plugin 0.5.0-1
xfce4-systemload-plugin 1.2.1-1
xfce4-taskmanager 1.2.1-1
xfce4-terminal 0.8.7.4-1
xfce4-time-out-plugin 1.0.2-2
xfce4-timer-plugin 1.7.0-1
xfce4-verve-plugin 2.0.0-1
xfce4-wavelan-plugin 0.6.0-1
xfce4-weather-plugin 0.8.10-1
xfce4-whiskermenu-plugin 2.2.1-1
xfce4-xkb-plugin 0.8.1-1
xfconf 4.12.1-5
xfdesktop 4.12.4-2
xfsprogs 4.17.0-1
xfwm4 4.12.5-1
xfwm4-themes 4.10.0-3
xkeyboard-config 2.24-1
xmlsec 1.2.26-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.4-5
xorg-iceauth 1.0.8-1
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-server 1.20.1-1
xorg-server-common 1.20.1-1
xorg-setxkbmap 1.3.1-2
xorg-twm 1.0.10-1
xorg-xauth 1.0.10-1
xorg-xinit 1.4.0-3
xorg-xkbcomp 1.4.2-1
xorg-xkill 1.0.5-1
xorg-xmodmap 1.0.9-2
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xset 1.2.4-1
xorgproto 2018.4-1
xvidcore 1.3.5-1
xz 5.2.4-1
yelp 3.28.1-1
yelp-xsl 3.28.0-1
zenity 3.28.1-1
zeromq 4.2.5-1
zip 3.0-8
zita-alsa-pcmi 0.2.0-4
zita-resampler 1.6.0-2
